what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.servlet.ui,1.1.203.v200810222000,org.eclipse.jst.servlet.ui,1269552598464
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1269552598577
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1269552598600
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1269552598600
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1269552601560
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit,2.1.0.I20090213-1500,org.polarion.eclipse.team.svn.connector.svnkit,1269552603178
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.1.0.I20090213-1500,org.polarion.eclipse.team.svn.connector.svnkit15,1269552603178
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1269552603819
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1269552604750
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1269552604759
started,bundle,org.eclipse.wst.html.core,1.1.204.v200901141603,org.eclipse.wst.html.core,1269552605363
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1269552609142
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20081217,org.eclipse.pde.build,1269552609847
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1269552609848
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1269552609985
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1269552610024
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1269552610041
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1269552610798
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1269552610902
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.4.v20081217,org.eclipse.equinox.p2.metadata.generator,1269552610967
started,bundle,org.eclipse.equinox.p2.director.app,1.0.1.R34x_v20080729,org.eclipse.equinox.p2.director.app,1269552610968
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1269552610968
started,bundle,org.eclipse.emf.ant,2.4.0.v200902171115,org.eclipse.emf.ant,1269552610969
started,bundle,org.eclipse.wst.command.env,1.0.308.v200811200248,org.eclipse.wst.command.env,1269552610970
started,bundle,org.eclipse.emf.converter,2.4.0.v200902171115,org.eclipse.emf.converter,1269552610970
